S No.,Date,Notifier,H,M,R,L,Domain,OS,View
1,9/16/2020,Clash Hackers,,M,,,www.productive.pk/cl.html,Linux,mirror
2,9/15/2020,The3x,,,,,daroodcircle.pk/7PpDqcr.php,Linux,mirror
3,9/15/2020,The3x,,M,,,oxygonpakistan.pk/J61YkOM.php,Linux,mirror
4,9/15/2020,The3x,,M,,,medics.com.pk/8NrJ4P5.php,Linux,mirror
5,9/15/2020,Bla3k_D3vil,,M,,,acl.org.pk/a.html,Win 2012,mirror
6,9/15/2020,Bla3k_D3vil,,M,,,hospiramedicalsystem.com.pk/a....,Win 2012,mirror
7,9/15/2020,Bla3k_D3vil,,M,,,weplay.com.pk/a.html,Win 2012,mirror
8,9/15/2020,Bla3k_D3vil,,M,,,dawaai247.pk/a.html,Win 2012,mirror
9,9/15/2020,Bla3k_D3vil,,M,,,touristo.com.pk/a.html,Win 2012,mirror
10,9/15/2020,Bla3k_D3vil,,M,,,nfservices.pk/a.html,Win 2012,mirror
11,9/15/2020,Bla3k_D3vil,,M,,,zwh.com.pk/a.html,Win 2012,mirror
12,9/15/2020,Bla3k_D3vil,,M,,,valdech.com.pk/a.html,Win 2012,mirror
13,9/15/2020,Bla3k_D3vil,,M,,,wi-tribe-ldi.pk/a.html,Win 2012,mirror
14,9/15/2020,Bla3k_D3vil,,M,,,writersclub.pk/a.html,Win 2012,mirror
15,9/15/2020,Bla3k_D3vil,,M,,,luxur.pk/a.html,Win 2012,mirror
16,9/15/2020,Bla3k_D3vil,,M,,,tayyabbookpoint.com.pk/a.html,Win 2012,mirror
17,9/15/2020,Bla3k_D3vil,,M,,,tzl.com.pk/a.html,Win 2012,mirror
18,9/15/2020,Bla3k_D3vil,,M,,,tlss.edu.pk/a.html,Win 2012,mirror
19,9/15/2020,Bla3k_D3vil,,M,,,shirthub.pk/a.html,Win 2012,mirror
20,9/15/2020,Bla3k_D3vil,,M,,,ssinternational.pk/a.html,Win 2012,mirror
21,9/15/2020,Bla3k_D3vil,,M,,,terrific.pk/a.html,Win 2012,mirror
22,9/15/2020,Bla3k_D3vil,,M,,,stemp.com.pk/a.html,Win 2012,mirror
23,9/15/2020,Bla3k_D3vil,,M,,,tazakhana.pk/a.html,Win 2012,mirror
24,9/15/2020,Bla3k_D3vil,,M,,,tecnosphere.com.pk/a.html,Win 2012,mirror
25,9/15/2020,Bla3k_D3vil,,M,,,technowell.com.pk/a.html,Win 2012,mirror
26,9/15/2020,Bla3k_D3vil,,M,,,szindustries.com.pk/a.html,Win 2012,mirror
27,9/15/2020,Bla3k_D3vil,,M,,,sparco.com.pk/a.html,Win 2012,mirror
28,9/15/2020,Bla3k_D3vil,,M,,,smarttown.pk/a.html,Win 2012,mirror
29,9/15/2020,Bla3k_D3vil,,,,,shahenterprises.com.pk/a.html,Linux,mirror
30,9/15/2020,Bla3k_D3vil,,M,,,wazircarpets.pk/a.html,Win 2012,mirror
31,9/15/2020,Bla3k_D3vil,,M,,,sicogb.com.pk/a.html,Win 2012,mirror
32,9/15/2020,Bla3k_D3vil,,M,,,safegain.pk/a.html,Win 2012,mirror
33,9/15/2020,Bla3k_D3vil,,M,,,reimagine.pk/a.html,Win 2012,mirror
34,9/15/2020,Bla3k_D3vil,,M,,,pitech.pk/a.html,Win 2012,mirror
35,9/15/2020,Bla3k_D3vil,,M,,,rcs.edu.pk/a.html,Win 2012,mirror
36,9/15/2020,Bla3k_D3vil,,M,,,kareemaeahlebait.com.pk/a.html,Win 2012,mirror
37,9/15/2020,Bla3k_D3vil,,M,,,printsap.pk/a.html,Win 2012,mirror
38,9/15/2020,Bla3k_D3vil,,M,,,campusadmin.pk/a.html,Win 2012,mirror
39,9/15/2020,Bla3k_D3vil,,M,R,,pwo.org.pk/a.html,Win 2012,mirror
40,9/15/2020,Bla3k_D3vil,,M,,,pepperdine.edu.pk/a.html,Win 2012,mirror
41,9/15/2020,Bla3k_D3vil,,M,,,sublimeworks.com.pk/a.html,Win 2012,mirror
42,9/15/2020,Bla3k_D3vil,,,,,pakchannel.com.pk/a.html,Win 2012,mirror
43,9/15/2020,Bla3k_D3vil,,M,,,pafda.gop.pk/a.html,Win 2012,mirror
44,9/15/2020,Bla3k_D3vil,,M,,,newfalconhouse.edu.pk/a.html,Win 2012,mirror
45,9/15/2020,Bla3k_D3vil,,M,,,lifetech.com.pk/a.html,Win 2012,mirror
46,9/15/2020,Bla3k_D3vil,,M,,,packit.com.pk/a.html,Win 2012,mirror
47,9/15/2020,Bla3k_D3vil,,M,,,tekworx.com.pk/a.html,Win 2012,mirror
48,9/15/2020,Bla3k_D3vil,,M,,,mykrotech.com.pk/a.html,Win 2012,mirror
49,9/15/2020,Bla3k_D3vil,,M,,,njenterprises.pk/a.html,Win 2012,mirror
50,9/15/2020,Bla3k_D3vil,,M,,,mtraders.com.pk/a.html,Win 2012,mirror
51,9/15/2020,Bla3k_D3vil,,M,,,rubbernecks.com.pk/a.html,Win 2012,mirror
52,9/15/2020,Bla3k_D3vil,,M,,,brandaura.pk/a.html,Win 2012,mirror
53,9/15/2020,Bla3k_D3vil,,M,,,mediagang.pk/a.html,Win 2012,mirror
54,9/15/2020,Bla3k_D3vil,,M,,,saga9.pk/a.html,Win 2012,mirror
55,9/15/2020,Bla3k_D3vil,,M,,,multicareclinic.pk/a.html,Win 2012,mirror
56,9/15/2020,Bla3k_D3vil,,M,,,modelmag.com.pk/a.html,Win 2012,mirror
57,9/15/2020,Bla3k_D3vil,,M,,,lll.com.pk/a.html,Win 2012,mirror
58,9/15/2020,Bla3k_D3vil,,M,,,salamclinic.com.pk/a.html,Win 2012,mirror
59,9/15/2020,Bla3k_D3vil,,M,,,misber.edu.pk/a.html,Win 2012,mirror
60,9/15/2020,Bla3k_D3vil,,M,,,ullab.com.pk/a.html,Win 2012,mirror
61,9/15/2020,Bla3k_D3vil,,M,,,modellab.com.pk/a.html,Win 2012,mirror
62,9/15/2020,Bla3k_D3vil,,M,,,momm.pk/a.html,Win 2012,mirror
63,9/15/2020,Bla3k_D3vil,,M,,,venuehub.pk/a.html,Win 2012,mirror
64,9/15/2020,Bla3k_D3vil,,M,,,mcos.pk/a.html,Win 2012,mirror
